index,folder_path,name,description
1,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main,context-engineering-collection,"A comprehensive collection of Agent Skills for context engineering, multi-agent architectures, and production agent systems. Use when building, optimizing, or debugging agent systems that require effective context management."
2,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/examples/book-sft-pipeline,book-sft-pipeline,"End-to-end system for creating supervised fine-tuning datasets from books and training style-transfer models. Covers text extraction, intelligent segmentation, synthetic instruction generation, Tinker-compatible output, LoRA training, and validation."
3,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/advanced-evaluation,advanced-evaluation,"Master LLM-as-a-Judge evaluation techniques including direct scoring, pairwise comparison, rubric generation, and bias mitigation. Use when building evaluation systems, comparing model outputs, or establishing quality standards for AI-generated content."
4,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/context-compression,context-compression,"Design and evaluate context compression strategies for long-running agent sessions. Use when agents exhaust memory, need to summarize conversation history, or when optimizing tokens-per-task rather than tokens-per-request."
5,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/context-degradation,context-degradation,"Recognize, diagnose, and mitigate patterns of context degradation in agent systems. Use when context grows large, agent performance degrades unexpectedly, or debugging agent failures."
6,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/context-fundamentals,context-fundamentals,"Understand the components, mechanics, and constraints of context in agent systems. Use when designing agent architectures, debugging context-related failures, or optimizing context usage."
7,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/context-optimization,context-optimization,"Apply optimization techniques to extend effective context capacity. Use when context limits constrain agent performance, when optimizing for cost or latency, or when implementing long-running agent systems."
8,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/evaluation,evaluation,"Build evaluation frameworks for agent systems. Use when testing agent performance, validating context engineering choices, or measuring improvements over time."
9,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/memory-systems,memory-systems,"Design and implement memory architectures for agent systems. Use when building agents that need to persist state across sessions, maintain entity consistency, or reason over structured knowledge."
10,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/multi-agent-patterns,multi-agent-patterns,"Design multi-agent architectures for complex tasks. Use when single-agent context limits are exceeded, when tasks decompose naturally into subtasks, or when specializing agents improves quality."
11,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/project-development,project-development,"Design and build LLM-powered projects from ideation through deployment. Use when starting new agent projects, choosing between LLM and traditional approaches, or structuring batch processing pipelines."
12,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/skills/tool-design,tool-design,"Design tools that agents can use effectively, including when to reduce tool complexity. Use when creating, optimizing, or reducing agent tool sets."
13,.projectSkills/unskills/agent/Agent-Skills-for-Context-Engineering-main/template,skill-template,Template for creating new Agent Skills for context engineering. Use this template when adding new skills to the collection.
14,.projectSkills/unskills/flow/create-plan,create-plan,Create a concise plan. Use when a user explicitly asks for a plan related to a coding task.
15,.projectSkills/unskills/flow/planning-with-files,planning-with-files,"Transforms workflow to use Manus-style persistent markdown files for planning, progress tracking, and knowledge storage. Use when starting complex tasks, multi-step projects, research tasks, or when the user mentions planning, organizing work, tracking progress, or wants structured output."
16,.projectSkills/unskills/rule/frontend-design,frontend-design,"Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, or applications. Generates creative, polished code that avoids generic AI aesthetics."
17,.projectSkills/unskills/rule/react-19,react-19,React 19 patterns with React Compiler. Trigger: When writing React components - no useMemo/useCallback needed.
18,.projectSkills/unskills/rule/tailwind-4,tailwind-4,"Tailwind CSS 4 patterns and best practices. Trigger: When styling with Tailwind - cn(), theme variables, no var() in className."
19,.projectSkills/unskills/rule/typescript,typescript,"TypeScript strict patterns and best practices. Trigger: When writing TypeScript code - types, interfaces, generics."
20,.projectSkills/unskills/tool/docx,docx,"Comprehensive document creation, editing, and analysis with support for tracked changes, comments, formatting preservation, and text extraction. When Claude needs to work with professional documents (.docx files) for: (1) Creating new documents, (2) Modifying or editing content, (3) Working with tracked changes, (4) Adding comments, or any other document tasks"
21,.projectSkills/unskills/tool/obsidian-skills/json-canvas,json-canvas,"Create and edit JSON Canvas files (.canvas) with nodes, edges, groups, and connections. Use when working with .canvas files, creating visual canvases, mind maps, flowcharts, or when the user mentions Canvas files in Obsidian."
22,.projectSkills/unskills/tool/obsidian-skills/obsidian-bases,obsidian-bases,"Create and edit Obsidian Bases (.base files) with views, filters, formulas, and summaries. Use when working with .base files, creating database-like views of notes, or when the user mentions Bases, table views, card views, filters, or formulas in Obsidian."
23,.projectSkills/unskills/tool/obsidian-skills/obsidian-markdown,obsidian-markdown,"Create and edit Obsidian Flavored Markdown with wikilinks, embeds, callouts, properties, and other Obsidian-specific syntax. Use when working with .md files in Obsidian, or when the user mentions wikilinks, callouts, frontmatter, tags, embeds, or Obsidian notes."
24,.projectSkills/unskills/tool/pptx,pptx,"Presentation creation, editing, and analysis. When Claude needs to work with presentations (.pptx files) for: (1) Creating new presentations, (2) Modifying or editing content, (3) Working with layouts, (4) Adding comments or speaker notes, or any other presentation tasks"
25,.projectSkills/unskills/tool/xlsx,xlsx,"Comprehensive spreadsheet creation, editing, and analysis with support for formulas, formatting, data analysis, and visualization. When Claude needs to work with spreadsheets (.xlsx, .xlsm, .csv, .tsv, etc) for: (1) Creating new spreadsheets with formulas and formatting, (2) Reading or analyzing data, (3) Modify existing spreadsheets while preserving formulas, (4) Data analysis and visualization in spreadsheets, or (5) Recalculating formulas"
